0,1000,1
0,10000,1
0,10,2.6
0,100,1
0,100000,0.9
0,1,0.9
0,1000000,1.1
1000,1010,2.1
1000,1001,0.8
1000,1100,0.8
1000,101000,0.8
1000,1001000,1
1000,11000,0.9
10000,10010,2.8
10000,10001,0.8
10000,110000,0.7
10000,10100,0.9
10000,1010000,1.1
10000,11000,0.9
10,1010,0.807692308
10,10010,1.076923077
10,110,0.615384615
10,100010,0.115384615
10,11,1.461538462
10,1000010,1.576923077
100,1000100,0.7
100,100100,0.6
100,1100,0.8
100,110,1.6
100,101,0.9
100,10100,0.9
100000,100100,0.666666667
100000,1100000,1.333333333
100000,100010,0.333333333
100000,100001,1
100000,101000,0.888888889
100000,110000,0.777777778
1,1001,0.888888889
1,10001,0.888888889
1,11,4.222222222
1,101,1
1,100001,1
1,1000001,1
1000000,1000100,0.636363636
1000000,1100000,1.090909091
1000000,1001000,0.909090909
1000000,1010000,1
1000000,1000010,3.727272727
1000000,1000001,0.818181818
1010,1011,1.904761905
1010,1110,0.666666667
1010,101010,0.142857143
1010,11010,1.238095238
1010,1001010,1.714285714
1000100,1000101,1
1000100,1100100,1.142857143
1000100,1000110,5.142857143
1000100,1010100,1.571428571
1000100,1001100,1
1001,1011,5
1001,1101,1.25
1001,101001,1
1001,1001001,1.125
1001,11001,1
100100,1100100,1.333333333
100100,100101,1.333333333
100100,101100,0.833333333
100100,100110,0.5
100100,110100,1.166666667
10010,10011,1.25
10010,110010,0.285714286
10010,10110,0.714285714
10010,1010010,1.928571429
10010,11010,0.928571429
10001,10011,4.375
10001,110001,0.875
10001,10101,1.375
10001,1010001,1
10001,11001,1
1100000,1100100,0.666666667
1100000,1100001,0.75
1100000,1110000,0.666666667
1100000,1100010,2.166666667
1100000,1101000,1
1100,101100,0.625
1100,1101,1.25
1100,1110,1.75
1100,11100,1.25
1100,1001100,0.875
110,1000110,2.25
110,100110,0.1875
110,111,1.875
110,1110,0.875
110,10110,1.25
100010,100110,1
100010,100011,3.666666667
100010,1100010,8.666666667
100010,101010,1
100010,110010,2.666666667
11,1011,1.052631579
11,10011,0.921052632
11,111,0.789473684
11,100011,0.289473684
11,1000011,1.447368421
101,1000101,0.777777778
101,100101,0.888888889
101,1101,1.111111111
101,111,3.333333333
101,10101,1.222222222
100001,100101,0.888888889
100001,1100001,1
100001,100011,1.222222222
100001,101001,0.888888889
100001,110001,0.777777778
101000,101100,0.625
101000,101001,1
101000,1101000,1.5
101000,101010,0.375
101000,111000,0.75
110000,110100,1
110000,1110000,1.142857143
110000,110001,1
110000,110010,1.142857143
110000,111000,0.857142857
10100,110100,0.777777778
10100,1010100,1.222222222
10100,11100,1.111111111
10100,10101,1.222222222
10100,10110,2.222222222
1001000,1001100,0.7
1001000,1001001,0.9
1001000,1101000,1.2
1001000,1011000,1.1
1001000,1001010,3.6
1010000,1110000,0.727272727
1010000,1010100,1
1010000,1010001,0.727272727
1010000,1010010,4.909090909
1010000,1011000,1
1000010,1000110,0.87804878
1000010,1100010,0.634146341
1000010,1000011,1.341463415
1000010,1010010,1.317073171
1000010,1001010,0.87804878
11000,11100,1.111111111
11000,11001,0.888888889
11000,11010,2.888888889
11000,1011000,1.222222222
11000,111000,0.666666667
